S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes,Constituency,State Code,Constituency Number
17.0,CHINTHALACHERUVU HEMALATHA,Jai Maha Bharath Party,239,5,244,0.02,12 - Vijayawada (Andhra Pradesh),1,12
18.0,NOTA,None of the Above,9038,155,9193,0.67,12 - Vijayawada (Andhra Pradesh),1,12
,Total,,1347527,16878,1364405,,12 - Vijayawada (Andhra Pradesh),1,12
1.0,DR CHANDRA SEKHAR PEMMASANI,Telugu Desam,851020,13928,864948,60.68,13 - Guntur (Andhra Pradesh),1,13
2.0,KILARI VENKATA ROSAIAH,Yuvajana Sramika Rythu Congress Party,513563,6690,520253,36.5,13 - Guntur (Andhra Pradesh),1,13
3.0,JANGALA AJAY KUMAR,Communist Party of India,8317,320,8637,0.61,13 - Guntur (Andhra Pradesh),1,13
4.0,SIVAREDDY. ENDREDDY,Navataram Party,5628,1,5629,0.39,13 - Guntur (Andhra Pradesh),1,13
5.0,TENALI PRAKASH,Bahujan Samaj Party,4172,100,4272,0.3,13 - Guntur (Andhra Pradesh),1,13
6.0,SIKHAKOLLI HEMA GOWRI SHANKAR,Jatiya Jana Sena Party,1959,5,1964,0.14,13 - Guntur (Andhra Pradesh),1,13
7.0,SAMUDRALA CHINNA KOTAIAH,Jaibhim Rao Bharat Party,1748,5,1753,0.12,13 - Guntur (Andhra Pradesh),1,13
8.0,UMAR BHASHA SHAIK,Jana Sahayaka Sakthi,1273,2,1275,0.09,13 - Guntur (Andhra Pradesh),1,13
9.0,SYED. SAIDA,Navarang Congress Party,1216,6,1222,0.09,13 - Guntur (Andhra Pradesh),1,13
10.0,AMBATI CHALAMAIAH,Pyramid Party of India,1029,2,1031,0.07,13 - Guntur (Andhra Pradesh),1,13
11.0,PILLI BABU RAO,Independent,688,4,692,0.05,13 - Guntur (Andhra Pradesh),1,13
12.0,HARI VENKATA SATISH KURNALA,Jai Bharat National Party,540,2,542,0.04,13 - Guntur (Andhra Pradesh),1,13
13.0,VISHNU REDDY LANKIREDDY,Bengaluru Nava Nirmana Party,461,-,461,0.03,13 - Guntur (Andhra Pradesh),1,13
14.0,EMANI. CHANDRASEKHAR RAO,Navodayam Party,409,5,414,0.03,13 - Guntur (Andhra Pradesh),1,13
15.0,SHAIK. KHAJAVALI,Independent,387,4,391,0.03,13 - Guntur (Andhra Pradesh),1,13
16.0,CHALLAPALLI RATAN RAJU,Viduthalai Chiruthaigal Katchi,374,4,378,0.03,13 - Guntur (Andhra Pradesh),1,13
17.0,KANNEBOYINA VAMSI KRISHNA YADAV,Independent,368,7,375,0.03,13 - Guntur (Andhra Pradesh),1,13
18.0,MOHAMMAD KHAJA MOINUDDIN CHISTI PASHA,Andhra Pradesh Rashtra Samithi,353,5,358,0.03,13 - Guntur (Andhra Pradesh),1,13
19.0,GAYATRI AUDHIPUDI,Independent,350,7,357,0.03,13 - Guntur (Andhra Pradesh),1,13
20.0,ASHOK ANAND GALI,Independent,335,-,335,0.02,13 - Guntur (Andhra Pradesh),1,13
21.0,SHAIK ASLAM AKTHER,Independent,334,1,335,0.02,13 - Guntur (Andhra Pradesh),1,13
22.0,PATHAN KHAJA (BASHA),Telugu Rajadhikara Samiti Party,328,4,332,0.02,13 - Guntur (Andhra Pradesh),1,13
23.0,AMARTHALURI VENKATESWARA RAO.,Marxist Communist Party of India (United),308,4,312,0.02,13 - Guntur (Andhra Pradesh),1,13
24.0,DR. RAYAPUDI RAJESH VIJAY KUMAR,Indian Labour Party (Ambedkar Phule),306,4,310,0.02,13 - Guntur (Andhra Pradesh),1,13
25.0,BURAGA RATNAM,Loktantrik Janta Dal,304,12,316,0.02,13 - Guntur (Andhra Pradesh),1,13
26.0,VANKAYALAPATI VENKATA SIVA RAMANJANEYULU,Independent,268,-,268,0.02,13 - Guntur (Andhra Pradesh),1,13
27.0,SIVA PARVATHI,Independent,262,4,266,0.02,13 - Guntur (Andhra Pradesh),1,13
28.0,BOMMASANI MUTYALA RAO,All Peoples Party,200,7,207,0.01,13 - Guntur (Andhra Pradesh),1,13
29.0,SRIKRISHNA AKKISETTI,Independent,179,-,179,0.01,13 - Guntur (Andhra Pradesh),1,13
30.0,MADAVARAPU NAGA RAJU,Independent,172,-,172,0.01,13 - Guntur (Andhra Pradesh),1,13
31.0,NOTA,None of the Above,7210,177,7387,0.52,13 - Guntur (Andhra Pradesh),1,13
,Total,,1404061,21310,1425371,,13 - Guntur (Andhra Pradesh),1,13
1.0,LAVU SRIKRISHNA DEVARAYALU,Telugu Desam,798097,9899,807996,53.88,14 - Narsaraopet (Andhra Pradesh),1,14
2.0,ANIL KUMAR POLUBOINA,Yuvajana Sramika Rythu Congress Party,642186,6081,648267,43.23,14 - Narsaraopet (Andhra Pradesh),1,14
3.0,GARNEPUDI ALEXANDER SUDHAKAR,Indian National Congress,17520,526,18046,1.2,14 - Narsaraopet (Andhra Pradesh),1,14
4.0,ORSU PREMARAJU,Bahujan Samaj Party,5276,33,5309,0.35,14 - Narsaraopet (Andhra Pradesh),1,14
5.0,KUCHIPUDI JOHN BABU,Jaibhim Rao Bharat Party,2328,8,2336,0.16,14 - Narsaraopet (Andhra Pradesh),1,14
6.0,GARLAPATI SUBHASH PREM,Revolutionary Socialist Party,1243,2,1245,0.08,14 - Narsaraopet (Andhra Pradesh),1,14
7.0,YAMPATI VEERANJANEYA REDDY,Independent,1056,1,1057,0.07,14 - Narsaraopet (Andhra Pradesh),1,14
8.0,SUBBARAO CHALLA,Independent,1051,-,1051,0.07,14 - Narsaraopet (Andhra Pradesh),1,14
9.0,ABDUL RAJAK SHAIK,Independent,718,5,723,0.05,14 - Narsaraopet (Andhra Pradesh),1,14
10.0,KOTA POTHURAJU,Pyramid Party of India,667,3,670,0.04,14 - Narsaraopet (Andhra Pradesh),1,14
11.0,P VENKATESH,Jaathia Chethi Vruthula Ikya Vedika Party,385,3,388,0.03,14 - Narsaraopet (Andhra Pradesh),1,14
12.0,PASUPULETI PICHAIAH,National Nava Kranthi Party,353,3,356,0.02,14 - Narsaraopet (Andhra Pradesh),1,14
13.0,PAPPULA SAMBASIVA RAO,Navarang Congress Party,331,1,332,0.02,14 - Narsaraopet (Andhra Pradesh),1,14
14.0,DOCTOR GODA RAMESH KUMAR,Jatiya Jana Sena Party,305,4,309,0.02,14 - Narsaraopet (Andhra Pradesh),1,14
15.0,THOKALA NAGA RAJU,All India Forward Bloc,277,8,285,0.02,14 - Narsaraopet (Andhra Pradesh),1,14
16.0,NOTA,None of the Above,11120,79,11199,0.75,14 - Narsaraopet (Andhra Pradesh),1,14
,Total,,1482913,16656,1499569,,14 - Narsaraopet (Andhra Pradesh),1,14
1.0,KRISHNA PRASAD TENNETI,Telugu Desam,706757,10736,717493,55.16,15 - Bapatla (SC) (Andhra Pradesh),1,15
2.0,NANDIGAM SURESH BABU,Yuvajana Sramika Rythu Congress Party,503816,5646,509462,39.17,15 - Bapatla (SC) (Andhra Pradesh),1,15
3.0,J.D. SEELAM,Indian National Congress,41673,1586,43259,3.33,15 - Bapatla (SC) (Andhra Pradesh),1,15
4.0,DOKKA JAGAN MOHANA RAO,Bahujan Samaj Party,6774,83,6857,0.53,15 - Bapatla (SC) (Andhra Pradesh),1,15
5.0,NALAMALA TIRUPATI RAO,Navataram Party,2888,76,2964,0.23,15 - Bapatla (SC) (Andhra Pradesh),1,15
6.0,BUSSA. NAGARAJU,Independent,1311,7,1318,0.1,15 - Bapatla (SC) (Andhra Pradesh),1,15
7.0,GADDE. VIJAYA LAKSHMI,Independent,1046,5,1051,0.08,15 - Bapatla (SC) (Andhra Pradesh),1,15
8.0,KATTAPOGU. VIJAY KUMAR,Pyramid Party of India,893,4,897,0.07,15 - Bapatla (SC) (Andhra Pradesh),1,15
9.0,KONDRU KIRAN KUMAR,Independent,791,6,797,0.06,15 - Bapatla (SC) (Andhra Pradesh),1,15
10.0,KATTA ANAND BABU,Independent,704,25,729,0.06,15 - Bapatla (SC) (Andhra Pradesh),1,15
11.0,MERUGUPALA SADASIVA RAO,India Praja Bandhu Party,669,4,673,0.05,15 - Bapatla (SC) (Andhra Pradesh),1,15
12.0,KATTA HEMANAND,Independent,547,2,549,0.04,15 - Bapatla (SC) (Andhra Pradesh),1,15
13.0,PARRE. KOTAIAH,Jaibhim Rao Bharat Party,408,4,412,0.03,15 - Bapatla (SC) (Andhra Pradesh),1,15
14.0,PALADUG VIJENDRA RAO (BAHUJAN),Liberation Congress Party,294,12,306,0.02,15 - Bapatla (SC) (Andhra Pradesh),1,15
15.0,CHINNAM MURALIDHAR,All Peoples Party,252,3,255,0.02,15 - Bapatla (SC) (Andhra Pradesh),1,15
16.0,NOTA,None of the Above,13599,124,13723,1.06,15 - Bapatla (SC) (Andhra Pradesh),1,15
,Total,,1282422,18323,1300745,,15 - Bapatla (SC) (Andhra Pradesh),1,15
1.0,MAGUNTA SREENIVASULU REDDY,Telugu Desam,689829,12065,701894,49.35,16 - Ongole (Andhra Pradesh),1,16
2.0,DR CHEVIREDDY BHASKAR REDD,Yuvajana Sramika Rythu Congress Party,644052,7643,651695,45.82,16 - Ongole (Andhra Pradesh),1,16
3.0,EDA SUDHAKARA REDDY,Indian National Congress,25803,919,26722,1.88,16 - Ongole (Andhra Pradesh),1,16
4.0,DHARANIKOTA LAKSHMI NARAYANA,Bahujan Samaj Party,6238,76,6314,0.44,16 - Ongole (Andhra Pradesh),1,16
5.0,BUCHI EDUKONDALU,Independent,3046,2,3048,0.21,16 - Ongole (Andhra Pradesh),1,16
6.0,PODILI RAMBABU,Independent,3035,38,3073,0.22,16 - Ongole (Andhra Pradesh),1,16
7.0,ORSU VEENA,Jai Bharat National Party,2242,25,2267,0.16,16 - Ongole (Andhra Pradesh),1,16
8.0,BONTHA RANGA REDDY,Independent,1923,-,1923,0.14,16 - Ongole (Andhra Pradesh),1,16
9.0,BODDU KRANTHI KUMAR,Independent,1797,1,1798,0.13,16 - Ongole (Andhra Pradesh),1,16
10.0,MOHAN GOUD J V,Independent,1442,5,1447,0.1,16 - Ongole (Andhra Pradesh),1,16
11.0,U MADHU BABU,Independent,1006,2,1008,0.07,16 - Ongole (Andhra Pradesh),1,16
12.0,KARATAPU RAJU,Independent,730,5,735,0.05,16 - Ongole (Andhra Pradesh),1,16
13.0,JAGADEESH RAYAPATI,Independent,713,12,725,0.05,16 - Ongole (Andhra Pradesh),1,16
14.0,DEVIREDDY BALANJANEYULU,Independent,710,6,716,0.05,16 - Ongole (Andhra Pradesh),1,16
15.0,HARI PRASAD TUPAKULA,Independent,706,5,711,0.05,16 - Ongole (Andhra Pradesh),1,16
16.0,PASAM VENKATESWARLU YADAV,Samajwadi Party,699,44,743,0.05,16 - Ongole (Andhra Pradesh),1,16
17.0,SURYA TEJA KOTA,Pyramid Party of India,674,9,683,0.05,16 - Ongole (Andhra Pradesh),1,16
18.0,AKUMALLA MALLIKARJUNA REDDY,Independent,575,-,575,0.04,16 - Ongole (Andhra Pradesh),1,16
19.0,VESHAPOGU GURAVABABU,Independent,457,4,461,0.03,16 - Ongole (Andhra Pradesh),1,16
20.0,KOMMU YOHANU,Liberation Congress Party,454,7,461,0.03,16 - Ongole (Andhra Pradesh),1,16
21.0,SESHUBABU GUDDANTI,Independent,449,-,449,0.03,16 - Ongole (Andhra Pradesh),1,16
22.0,SINGAMNENI SREEKANTH,Independent,407,3,410,0.03,16 - Ongole (Andhra Pradesh),1,16
23.0,YARRA DASARADHARAMAIAH,Independent,394,-,394,0.03,16 - Ongole (Andhra Pradesh),1,16
24.0,KOTA VAMSI KRISHNA,Independent,365,-,365,0.03,16 - Ongole (Andhra Pradesh),1,16
25.0,K PAVAN KALYAN,Jatiya Jana Sena Party,362,30,392,0.03,16 - Ongole (Andhra Pradesh),1,16
26.0,NOTA,None of the Above,13066,139,13205,0.93,16 - Ongole (Andhra Pradesh),1,16
,Total,,1401174,21040,1422214,,16 - Ongole (Andhra Pradesh),1,16
1.0,DR BYREDDY SHABARI,Telugu Desam,689417,11714,701131,49.92,17 - Nandyal (Andhra Pradesh),1,17
2.0,POCHA BRAHMANANDA REDDY,Yuvajana Sramika Rythu Congress Party,583155,6001,589156,41.95,17 - Nandyal (Andhra Pradesh),1,17
3.0,J LAKSHMI NARASIMHA YADAV,Indian National Congress,54920,1284,56204,4.0,17 - Nandyal (Andhra Pradesh),1,17
4.0,P GURUVAIAH,Independent,8190,1,8191,0.58,17 - Nandyal (Andhra Pradesh),1,17
5.0,A CHINNA MOULALI,Bahujan Samaj Party,7768,63,7831,0.56,17 - Nandyal (Andhra Pradesh),1,17
6.0,HAFIZ ATAULLAH KHAN,Social Democratic Party Of India,6858,74,6932,0.49,17 - Nandyal (Andhra Pradesh),1,17
7.0,KOMMUSANI PEDDA KAMBAGIRI SWAMY,Independent,4633,-,4633,0.33,17 - Nandyal (Andhra Pradesh),1,17
8.0,GAGGERA VENKATA RAMANAIAH,Independent,3027,4,3031,0.22,17 - Nandyal (Andhra Pradesh),1,17
9.0,DUMAVATH SWAMY NAIK,Independent,2348,10,2358,0.17,17 - Nandyal (Andhra Pradesh),1,17
10.0,KUNUKUNTLA RAMUDU,Independent,1408,5,1413,0.1,17 - Nandyal (Andhra Pradesh),1,17
11.0,E ANIL KUMAR,Independent,1332,2,1334,0.09,17 - Nandyal (Andhra Pradesh),1,17
12.0,C SURENDRA NATHA REDDY,Independent,1267,1,1268,0.09,17 - Nandyal (Andhra Pradesh),1,17
13.0,BRAHMANANDA REDDY K,Independent,1261,11,1272,0.09,17 - Nandyal (Andhra Pradesh),1,17
14.0,UPPU SUBBARAYUDU,Jaathia Chethi Vruthula Ikya Vedika Party,785,6,791,0.06,17 - Nandyal (Andhra Pradesh),1,17
15.0,NAGESWARA RAO,Independent,678,2,680,0.05,17 - Nandyal (Andhra Pradesh),1,17
16.0,VIJAYA BHASKAR REDDYPOGU,Independent,641,-,641,0.05,17 - Nandyal (Andhra Pradesh),1,17
17.0,YELAMPALLE GOVARDHAN REDDY,All India Forward Bloc,638,4,642,0.05,17 - Nandyal (Andhra Pradesh),1,17
18.0,BHUMA VEERA BHADRA REDDY,Navarang Congress Party,630,16,646,0.05,17 - Nandyal (Andhra Pradesh),1,17
19.0,PANDU RANGA YADAV SIDDAPU,Samajwadi Party,594,11,605,0.04,17 - Nandyal (Andhra Pradesh),1,17
20.0,CHANDINI REDDY VAKATI,Liberation Congress Party,546,10,556,0.04,17 - Nandyal (Andhra Pradesh),1,17
21.0,B C RAMANADHA AREDDY,Independent,472,-,472,0.03,17 - Nandyal (Andhra Pradesh),1,17
22.0,GAJULA SHALIMIYA,Anna YSR Congress Party,468,18,486,0.03,17 - Nandyal (Andhra Pradesh),1,17
23.0,KULURU RAMA KRISHNA REDDY,Neethi Nijayithi Party,428,2,430,0.03,17 - Nandyal (Andhra Pradesh),1,17
24.0,CH P MALLESWARUDU,Independent,417,4,421,0.03,17 - Nandyal (Andhra Pradesh),1,17
25.0,I V PAKKIR REDDY,Independent,408,2,410,0.03,17 - Nandyal (Andhra Pradesh),1,17
26.0,V MADHUSUDHANA REDDY,Independent,399,2,401,0.03,17 - Nandyal (Andhra Pradesh),1,17
27.0,BUSHAKU MAHESWARA REDDY,Independent,390,-,390,0.03,17 - Nandyal (Andhra Pradesh),1,17
28.0,U P MUNI REDDY,Independent,376,-,376,0.03,17 - Nandyal (Andhra Pradesh),1,17
29.0,GOGULA SUGUNAMMA,Jai Maha Bharath Party,375,4,379,0.03,17 - Nandyal (Andhra Pradesh),1,17
30.0,BELLAMKONDA SREENIVASULU,Independent,352,1,353,0.03,17 - Nandyal (Andhra Pradesh),1,17
31.0,BALIJA SHIVA KUMAR,Independent,288,-,288,0.02,17 - Nandyal (Andhra Pradesh),1,17
32.0,NOTA,None of the Above,10538,159,10697,0.76,17 - Nandyal (Andhra Pradesh),1,17
,Total,,1385007,19411,1404418,,17 - Nandyal (Andhra Pradesh),1,17
1.0,BASTIPATI NAGARAJU PANCHALINGALA,Telugu Desam,650335,8579,658914,49.51,18 - Kurnoolu (Andhra Pradesh),1,18
2.0,B Y RAMAIAH,Yuvajana Sramika Rythu Congress Party,543801,3815,547616,41.15,18 - Kurnoolu (Andhra Pradesh),1,18
3.0,P.G.RAMPULLAIAH YADAV LUCKY-2,Indian National Congress,68972,1401,70373,5.29,18 - Kurnoolu (Andhra Pradesh),1,18
4.0,MANCHALA LAKSHMI NARAYANA,Bahujan Samaj Party,8533,56,8589,0.65,18 - Kurnoolu (Andhra Pradesh),1,18
5.0,BOYA SURESH,Independent,5891,9,5900,0.44,18 - Kurnoolu (Andhra Pradesh),1,18
6.0,T. BEECHUPALLI,Independent,5125,2,5127,0.39,18 - Kurnoolu (Andhra Pradesh),1,18
7.0,VIJAYA BHASKAR .REDDYPOGU,Independent,3504,4,3508,0.26,18 - Kurnoolu (Andhra Pradesh),1,18
8.0,PAGADALA KODANDA,Independent,3070,6,3076,0.23,18 - Kurnoolu (Andhra Pradesh),1,18
9.0,DEVARAPOGU MADDILETY,Independent,2576,6,2582,0.19,18 - Kurnoolu (Andhra Pradesh),1,18
10.0,PRAKASH REDDY RALAMPADU,Independent,2222,3,2225,0.17,18 - Kurnoolu (Andhra Pradesh),1,18
11.0,JAHANGIR AHMED,Social Democratic Party Of India,2058,16,2074,0.16,18 - Kurnoolu (Andhra Pradesh),1,18
12.0,DR. REDDYPOGU PRAVEEN KUMAR,Independent,1847,9,1856,0.14,18 - Kurnoolu (Andhra Pradesh),1,18
13.0,ABDUL SATTAR A.S.R,Anna YSR Congress Party,1565,36,1601,0.12,18 - Kurnoolu (Andhra Pradesh),1,18
14.0,VALMIKI ARJUNA,Bharatha Chaitanya Yuvajana Party,1385,5,1390,0.1,18 - Kurnoolu (Andhra Pradesh),1,18
15.0,URUKUNDU VADDE,Independent,1284,11,1295,0.1,18 - Kurnoolu (Andhra Pradesh),1,18
16.0,MALLEPOGU NAGANNA,Socialist Unity Centre Of India (COMMUNIST),1162,2,1164,0.09,18 - Kurnoolu (Andhra Pradesh),1,18
17.0,SUNKARA SREEDHAR,Jai Bharat National Party,1149,14,1163,0.09,18 - Kurnoolu (Andhra Pradesh),1,18
18.0,TARIGOPULA RAJABABU,All Peoples Party,1032,1,1033,0.08,18 - Kurnoolu (Andhra Pradesh),1,18
19.0,AMRUTH KUMAR SALKAPURAM,Liberation Congress Party,777,6,783,0.06,18 - Kurnoolu (Andhra Pradesh),1,18
20.0,NOTA,None of the Above,10394,117,10511,0.79,18 - Kurnoolu (Andhra Pradesh),1,18
,Total,,1316682,14098,1330780,,18 - Kurnoolu (Andhra Pradesh),1,18
1.0,AMBICA G LAKSHMINARAYANA VALMIKI,Telugu Desam,755862,12383,768245,53.33,19 - Ananthapur (Andhra Pradesh),1,19
2.0,MALAGUNDLA SANKAR NARAYANA,Yuvajana Sramika Rythu Congress Party,573769,5921,579690,40.24,19 - Ananthapur (Andhra Pradesh),1,19
3.0,MALLIKARJUNA VAJJALA,Indian National Congress,41954,1263,43217,3.0,19 - Ananthapur (Andhra Pradesh),1,19
4.0,G.V.RAMANA REDDY,Independent,6436,3,6439,0.45,19 - Ananthapur (Andhra Pradesh),1,19
5.0,BANASI NARAYANAPPA,Bahujan Samaj Party,6280,116,6396,0.44,19 - Ananthapur (Andhra Pradesh),1,19
6.0,V.MURALI PRASAD REDDY,Independent,5775,3,5778,0.4,19 - Ananthapur (Andhra Pradesh),1,19
7.0,DR.NALLANI RAMESH NAIDU,Andhra Rastra Praja Samithi,4862,127,4989,0.35,19 - Ananthapur (Andhra Pradesh),1,19
8.0,M.SURENDRA,Pyramid Party of India,2927,8,2935,0.2,19 - Ananthapur (Andhra Pradesh),1,19
9.0,U.C.VENKATASUBBAIAH,Jaathia Chethi Vruthula Ikya Vedika Party,2533,7,2540,0.18,19 - Ananthapur (Andhra Pradesh),1,19
10.0,P.CHOWDESWARI,Independent,1514,4,1518,0.11,19 - Ananthapur (Andhra Pradesh),1,19
11.0,VADLA KESAVAIAH,Independent,1488,6,1494,0.1,19 - Ananthapur (Andhra Pradesh),1,19
12.0,B.RAGHAVENDRA PRASAD,Independent,1317,1,1318,0.09,19 - Ananthapur (Andhra Pradesh),1,19
13.0,KETHIREDDY RAGHUNATHAREDDY,Independent,1086,5,1091,0.08,19 - Ananthapur (Andhra Pradesh),1,19
14.0,LOKANATH GOWD SURAGOWINI,Independent,1085,6,1091,0.08,19 - Ananthapur (Andhra Pradesh),1,19
15.0,SREERANGARAJULA GOPINATH ROYAL,Independent,903,1,904,0.06,19 - Ananthapur (Andhra Pradesh),1,19
16.0,SHAIK.NIZAM,Samajwadi Party,749,4,753,0.05,19 - Ananthapur (Andhra Pradesh),1,19
17.0,RAMAVTH CHINNA RAMAPPA NAIK,Jaibhim Rao Bharat Party,735,10,745,0.05,19 - Ananthapur (Andhra Pradesh),1,19
18.0,KURUBA MALLIKARJUNA.S.,All India Kisan Janatha party,574,4,578,0.04,19 - Ananthapur (Andhra Pradesh),1,19
19.0,B.NAGAMUTHYALU,Socialist Unity Centre Of India (COMMUNIST),566,4,570,0.04,19 - Ananthapur (Andhra Pradesh),1,19
20.0,SRINIVASA RAJU.O,Bhartiya Panchyat Party,489,5,494,0.03,19 - Ananthapur (Andhra Pradesh),1,19
21.0,DURGA PRASAD D BYATARAYANAJI,Challengers Party,439,5,444,0.03,19 - Ananthapur (Andhra Pradesh),1,19
22.0,NOTA,None of the Above,9014,185,9199,0.64,19 - Ananthapur (Andhra Pradesh),1,19
,Total,,1420357,20071,1440428,,19 - Ananthapur (Andhra Pradesh),1,19
1.0,B K PARTHASARATHI,Telugu Desam,713013,12521,725534,51.23,20 - Hindupur (Andhra Pradesh),1,20
2.0,J SHANTHA,Yuvajana Sramika Rythu Congress Party,587406,5701,593107,41.88,20 - Hindupur (Andhra Pradesh),1,20
3.0,B A SAMAD SHAHEEN,Indian National Congress,53989,1070,55059,3.89,20 - Hindupur (Andhra Pradesh),1,20
4.0,BHAGYA R S,Bahujan Samaj Party,7949,66,8015,0.57,20 - Hindupur (Andhra Pradesh),1,20
5.0,PRATHAP REDDY GORLA,Independent,5380,64,5444,0.38,20 - Hindupur (Andhra Pradesh),1,20
6.0,H D HANUMANTHE GOWD,Independent,2270,8,2278,0.16,20 - Hindupur (Andhra Pradesh),1,20
7.0,ANJINAPPA GARI SREENIVASULU,Revolutionary Socialist Party,2045,6,2051,0.14,20 - Hindupur (Andhra Pradesh),1,20
8.0,S N SURESH,Independent,1611,20,1631,0.12,20 - Hindupur (Andhra Pradesh),1,20
9.0,DASAGANIPALLI KULLAYAPPA,Independent,1317,11,1328,0.09,20 - Hindupur (Andhra Pradesh),1,20
10.0,ASHOK,Socialist Unity Centre Of India (COMMUNIST),1282,10,1292,0.09,20 - Hindupur (Andhra Pradesh),1,20
11.0,T SUDHAKAR REDDY,Independent,1227,10,1237,0.09,20 - Hindupur (Andhra Pradesh),1,20
12.0,S RAGHUNATHA REDDY,Independent,693,17,710,0.05,20 - Hindupur (Andhra Pradesh),1,20
13.0,BUDILI DHANUNJAYA,National Nava Kranthi Party,679,3,682,0.05,20 - Hindupur (Andhra Pradesh),1,20
14.0,NOTA,None of the Above,17826,145,17971,1.27,20 - Hindupur (Andhra Pradesh),1,20
,Total,,1396687,19652,1416339,,20 - Hindupur (Andhra Pradesh),1,20
1.0,Y. S. AVINASH REDDY,Yuvajana Sramika Rythu Congress Party,598406,6737,605143,45.78,21 - Kadapa (Andhra Pradesh),1,21
2.0,CHADIPIRALLA BHUPESH SUBBARAMI REDDY,Telugu Desam,532358,10090,542448,41.03,21 - Kadapa (Andhra Pradesh),1,21
3.0,Y.S. SHARMILA REDDY,Indian National Congress,136395,4644,141039,10.67,21 - Kadapa (Andhra Pradesh),1,21
4.0,PANDITI. GURAPPA.,Bahujan Samaj Party,3790,20,3810,0.29,21 - Kadapa (Andhra Pradesh),1,21
5.0,VENU GOPAL RACHINENI,Rashtriya Praja Congress (Secular),3500,70,3570,0.27,21 - Kadapa (Andhra Pradesh),1,21
6.0,CHINNAPUREDDY GOPALA KRISHNA REDDY,Independent,2414,16,2430,0.18,21 - Kadapa (Andhra Pradesh),1,21
7.0,KUNCHAM. VENKATA SUBBA REDDY,Rayalaseema Rashtra Samithi,2329,4,2333,0.18,21 - Kadapa (Andhra Pradesh),1,21
8.0,L. KHAJA HUSSAIN,Independent,1087,1,1088,0.08,21 - Kadapa (Andhra Pradesh),1,21
9.0,ANKIREDDY. SURESH KUMAR REDDY.,All India Forward Bloc,752,3,755,0.06,21 - Kadapa (Andhra Pradesh),1,21
10.0,KAKARLA SHANMUKHA REDDY,Independent,633,14,647,0.05,21 - Kadapa (Andhra Pradesh),1,21
11.0,PALLE RAMESH,Jaibhim Rao Bharat Party,619,5,624,0.05,21 - Kadapa (Andhra Pradesh),1,21
12.0,CHAN BASHA. S,Anna YSR Congress Party,432,7,439,0.03,21 - Kadapa (Andhra Pradesh),1,21
13.0,J. V. RAMANA,Jaathia Chethi Vruthula Ikya Vedika Party,414,20,434,0.03,21 - Kadapa (Andhra Pradesh),1,21
14.0,MALIKIREDDY. HANUMANTHA REDDY,Jana Sahayaka Sakthi,358,11,369,0.03,21 - Kadapa (Andhra Pradesh),1,21
15.0,NOTA,None of the Above,16660,186,16846,1.27,21 - Kadapa (Andhra Pradesh),1,21
,Total,,1300147,21828,1321975,,21 - Kadapa (Andhra Pradesh),1,21
1.0,PRABHAKAR REDDY VEMIREDDY,Telugu Desam,750771,15431,766202,55.7,22 - Nellore (Andhra Pradesh),1,22
2.0,VENUMBAKA VIJAYASAI REDDY,Yuvajana Sramika Rythu Congress Party,514375,5925,520300,37.82,22 - Nellore (Andhra Pradesh),1,22
3.0,KOPPULA RAJU,Indian National Congress,53264,1580,54844,3.99,22 - Nellore (Andhra Pradesh),1,22
4.0,BHASKAR NASINA,Bahujan Samaj Party,5710,101,5811,0.42,22 - Nellore (Andhra Pradesh),1,22
5.0,VIVEKA MANNEPALLI,Revolutionary Socialist Party,2794,10,2804,0.2,22 - Nellore (Andhra Pradesh),1,22
6.0,KOPPALA RAGHU,Independent,2010,5,2015,0.15,22 - Nellore (Andhra Pradesh),1,22
7.0,GAJULA SOMA SEKHAR,Jai Bharat National Party,1775,4,1779,0.13,22 - Nellore (Andhra Pradesh),1,22
8.0,SHAIK MUZIBUR RAHAMAN,Pyramid Party of India,1315,15,1330,0.1,22 - Nellore (Andhra Pradesh),1,22
9.0,SHAIK MAHABOOB BASHA (MABU),Republican Party of India (A),1228,5,1233,0.09,22 - Nellore (Andhra Pradesh),1,22
10.0,MALLEPALLY RAGHU,Navarang Congress Party,1104,1,1105,0.08,22 - Nellore (Andhra Pradesh),1,22
11.0,SHAIK SHAFI AHMED,All India Forward Bloc,1037,-,1037,0.08,22 - Nellore (Andhra Pradesh),1,22
12.0,NAKKA DINESH,Bharatha Chaitanya Yuvajana Party,576,24,600,0.04,22 - Nellore (Andhra Pradesh),1,22
13.0,TALARI VENKATAIAH,Jaibhim Rao Bharat Party,553,5,558,0.04,22 - Nellore (Andhra Pradesh),1,22
14.0,PUNGANURU PRASANNA GANAPATHI,Radical Party of India (Ambedkarist),452,2,454,0.03,22 - Nellore (Andhra Pradesh),1,22
15.0,NOTA,None of the Above,15454,123,15577,1.13,22 - Nellore (Andhra Pradesh),1,22
,Total,,1352418,23231,1375649,,22 - Nellore (Andhra Pradesh),1,22
1.0,GURUMOORTHY MADDILA,Yuvajana Sramika Rythu Congress Party,626702,5526,632228,45.73,23 - Thirupathi(SC) (Andhra Pradesh),1,23
2.0,VARA PRASAD RAO VELAGAPALLI,Bharatiya Janata Party,608494,9165,617659,44.67,23 - Thirupathi(SC) (Andhra Pradesh),1,23
